城市,后6位数字
鞍山,230400
安庆,150400
安阳,170900
北京,010000
包头,280400
保定,160400
蚌埠,150600
宝鸡,200400
滨州,121500
长春,240200
长沙,190200
成都,090200
重庆,060000
常州,070500
常德,190700
常熟,070700
沧州,160800
潮州,032000
郴州,190900
赤峰,280300
滁州,150900
长治,210600
大连,230300
东莞,030800
丹东,230800
大庆,220500
达州,091700
大同,210400
德阳,090600
德州,121300
东营,121000
鄂尔多斯,280800
鄂州,181000
福州,110200
佛山,030600
抚顺,230600
抚州,131100
阜阳,150700
广州,030200
贵阳,260200
赣州,130800
广安,091300
广元,091600
贵港,141000
桂林,140300
哈尔滨,220200
杭州,080200
合肥,150200
海口,100200
呼和浩特,280200
惠州,030300
衡阳,190500
淮安,071900
湖州,080900
邯郸,160700
汉中,200900
河源,032100
菏泽,121400
衡水,161200
怀化,191100
淮北,151700
淮南,151100
黄冈,181100
黄石,180400
济南,120200
嘉兴,080700
金华,080600
吉林,240300
江门,031500
荆州,180700
济宁,120900
九江,130300
吉安,130900
焦作,170500
揭阳,032200
锦州,230700
晋中,211000
荆门,180800
昆明,250200
昆山,070600
开封,170400
拉萨,020000
兰州,270200
廊坊,160300
临沂,120800
洛阳,170300
连云港,071200
柳州,140400
乐山,090400
聊城,121700
临汾,210500
六安,151200
娄底,191200
泸州,090500
漯河,171500
绵阳,090300
马鞍山,150500
茂名,032300
眉山,091200
梅州,032600
南京,070200
宁波,080300
南昌,130200
南通,070900
南宁,140200
南充,091100
南阳,170600
内江,090900
宁德,110900
平顶山,171000
莆田,110600
濮阳,171600
青岛,120300
泉州,110400
秦皇岛,160600
清远,031900
齐齐哈尔,220600
衢州,081200
曲靖,250300
日照,121200
上海,020000
深圳,040000
沈阳,230200
石家庄,160200
苏州,070300
三亚,100300
绍兴,080500
汕头,030400
汕尾,032400
商丘,171300
上饶,131200
韶关,031400
邵阳,191000
十堰,180600
随州,181200
遂宁,091500
宿迁,072000
宿州,151600
天津,050000
太原,210200
台州,080800
唐山,160500
泰州,071800
铁岭,231200
泰安,121100
武汉,180200
无锡,070400
温州,080400
乌鲁木齐,310200
芜湖,150300
潍坊,120500
威海,120600
渭南,200700
西安,200200
厦门,110300
徐州,071100
襄阳,180500
湘潭,190400
咸阳,200300
西宁,320200
咸宁,181300
孝感,180900
新乡,170700
信阳,171200
邢台,161100
许昌,171100
宣城,151400
烟台,120400
扬州,070800
宜昌,180300
盐城,071300
义乌,081400
营口,230500
银川,290200
阳江,032800
宜宾,090700
宜春,131000
益阳,190800
永州,191300
玉林,140600
岳阳,190600
运城,210300
漳州,110500
郑州,170200
中山,030700
珠海,030500
镇江,071000
株洲,190300
湛江,031700
肇庆,031800
张家港,071400
淄博,120700
枣庄,121600
张家口,160900
周口,170800
驻马店,171400
遵义,260300
